check_catalog_param_id|check_catalog_id|check_param_id|check_param_usage_cd
1978|344|808|OUT
1980|327|808|REQ
1982|323|430|REQ
1987|135|451|REQ
1995|37|403|REQ
1996|37|405|REQ
1997|306|322|REQ
1999|345|3303|REQ
2001|345|265|REQ
2003|336|791|REQ
2004|339|510|REQ
2005|339|782|REQ
2006|330|780|REQ
2008|330|811|REQ
2011|341|782|REQ
2013|342|795|REQ
2014|342|794|REQ
2019|130|501|REQ
2020|133|501|REQ
2021|135|501|REQ
2023|154|480|REQ
2024|154|258|REQ
2026|154|813|OUT
2029|177|814|OUT
2030|177|815|OUT
2031|177|816|OUT
2032|177|817|OUT
2033|154|814|REQ
2034|154|815|REQ
2035|154|816|REQ
2036|154|817|REQ
2037|154|392|REQ
2044|67|294|REQ
2065|353|834|REQ
2069|354|834|REQ
2070|354|837|OUT
2071|355|834|REQ
2072|355|838|OUT
2073|356|834|REQ
2074|356|839|OUT
2076|357|834|REQ
2077|357|840|OUT
2078|357|841|OUT
2079|357|842|OUT
2085|358|510|REQ
2089|369|847|OUT
2090|369|849|OUT
2091|369|848|OUT
2092|50|848|REQ
2093|50|849|REQ
2094|361|307|REQ
2095|361|848|REQ
2096|361|849|REQ
2097|362|307|REQ
2098|362|848|REQ
2099|362|849|REQ
2100|50|307|REQ
2105|358|699|REQ
2107|358|265|REQ
2108|397|499|REQ
2109|397|265|REQ
2110|397|399|REQ
2111|397|400|REQ
2120|291|699|REQ
2123|409|499|REQ
2124|409|265|REQ
2125|409|399|REQ
2126|409|400|REQ
2128|410|700|REQ
2129|410|699|REQ
2130|410|399|REQ
2131|410|400|REQ
2132|410|265|REQ
2137|409|699|REQ
2142|273|730|OUT
2146|34|853|OUT
2147|13|762|REQ
2149|238|855|REQ
2151|16|857|REQ
2152|34|291|REQ
2153|34|858|REQ
2154|464|290|REQ
2155|464|340|REQ
2156|464|403|REQ
2157|464|404|REQ
2158|464|405|REQ
2159|464|406|REQ
2160|464|294|REQ
2161|464|291|REQ
2163|38|700|REQ
2164|296|265|REQ
2165|117|859|REQ
2167|534|345|REQ
2168|534|403|REQ
2169|534|404|REQ
2170|534|405|REQ
2171|534|406|REQ
2172|534|294|REQ
2173|534|291|REQ
2176|534|290|REQ
2177|535|862|OUT
2178|535|864|OUT
2183|538|867|OUT
2184|538|868|OUT
2185|538|864|REQ
2186|538|866|REQ
2193|549|872|OUT
2212|574|883|OUT
2231|116|504|OUT
2233|631|862|REQ
2234|631|892|OUT
2256|1|901|OUT
2258|60|291|REQ
2260|26|291|REQ
2281|73|399|REQ
2282|73|400|REQ
2285|73|699|REQ
2288|88|265|REQ
2297|72|291|REQ
2311|535|918|REQ
2316|39|265|REQ
2327|537|929|OUT
2328|537|864|REQ
2356|538|942|REQ
2358|661|290|REQ
2359|661|328|REQ
2360|661|403|REQ
2361|661|404|REQ
2362|661|405|REQ
2363|661|406|REQ
2369|661|906|REQ
2370|661|504|REQ
2382|37|291|REQ
2384|37|430|REQ
2387|16|265|REQ
2388|16|901|REQ
2389|13|265|REQ
2390|13|901|REQ
2391|40|294|REQ
2409|102|956|REQ
2410|102|430|REQ
2415|669|290|REQ
2416|669|1882|REQ
2417|669|403|REQ
2418|669|404|REQ
2419|669|405|REQ
2420|669|406|REQ
2421|669|294|REQ
2422|669|291|REQ
2424|574|866|REQ
2442|669|854|OUT
2463|103|858|REQ
2469|108|462|OUT
2477|676|862|REQ
2498|684|862|REQ
2502|669|989|OUT
2504|669|319|REQ
2505|669|430|REQ
2511|686|290|REQ
2512|686|345|REQ
2513|686|403|REQ
2514|686|404|REQ
2515|686|405|REQ
2516|686|406|REQ
2517|686|294|REQ
2518|686|291|REQ
2519|686|319|REQ
2520|686|430|REQ
2521|686|994|OUT
2525|686|996|OUT
2526|686|997|OUT
2538|691|1005|OUT
2539|691|1006|OUT
2545|669|384|REQ
2546|669|265|REQ
2550|60|345|REQ
2563|535|1011|REQ
2564|535|1012|REQ
2565|154|1015|OUT
2567|154|1016|REQ
2568|154|1017|REQ
2569|160|409|REQ
2570|160|489|REQ
2571|149|446|REQ
2572|149|1018|REQ
2573|149|970|REQ
2581|284|708|REQ
2582|149|1019|OUT
2589|154|1019|REQ
2590|160|1019|REQ
2591|692|258|REQ
2593|692|409|REQ
2596|692|701|REQ
2597|692|708|REQ
2599|136|501|REQ
2600|135|1020|REQ
2601|538|1011|REQ
2602|538|1012|REQ
2603|537|1011|REQ
2604|537|1012|REQ
2611|693|536|REQ
2613|693|492|REQ
2614|693|524|REQ
2615|693|525|REQ
2616|693|526|REQ
2617|693|527|REQ
2633|694|513|REQ
2634|694|524|REQ
2635|694|525|REQ
2636|694|526|REQ
2637|694|527|REQ
2639|694|520|REQ
2648|155|492|REQ
2649|696|513|REQ
2651|696|531|REQ
2653|696|568|REQ
2654|696|569|REQ
2655|696|571|REQ
2656|696|570|REQ
2657|696|492|REQ
2659|697|531|REQ
2665|697|492|REQ
2666|697|524|REQ
2667|697|525|REQ
2668|697|526|REQ
2669|697|527|REQ
2671|698|319|REQ
2672|698|265|REQ
2673|698|399|REQ
2674|698|400|REQ
2675|698|699|REQ
2676|12|401|REQ
2678|328|399|REQ
2679|328|400|REQ
2680|328|265|REQ
2681|328|319|REQ
2683|698|2915|REQ
2684|183|547|REQ
2685|183|548|REQ
2686|183|549|REQ
2687|183|550|REQ
2688|183|552|REQ
2690|183|1021|OUT
2691|184|552|REQ
2692|184|547|REQ
2694|184|548|REQ
2695|184|549|REQ
2696|184|550|REQ
2697|184|540|REQ
2698|184|345|REQ
2699|180|547|REQ
2700|180|549|REQ
2719|182|552|REQ
2720|167|1024|OUT
2721|182|1024|REQ
2722|186|1025|REQ
2723|298|607|REQ
2724|298|1026|REQ
2725|51|1027|OUT
2727|206|1028|REQ
2728|205|1028|OUT
2729|192|607|REQ
2732|206|1029|OUT
2733|192|1029|OPT
2737|245|510|REQ
2739|192|1030|OUT
2742|700|1031|OUT
2745|700|1034|OUT
2746|700|1035|OUT
2748|701|1008|OUT
2749|701|957|OUT
2750|189|803|REQ
2751|189|584|REQ
2754|202|603|OPT
2756|192|585|OPT
2757|192|1037|OUT
2758|187|607|REQ
2759|193|607|REQ
2760|193|591|OPT
2761|188|607|REQ
2763|700|1011|OPT
2765|701|864|REQ
2766|213|597|REQ
2767|213|599|REQ
2768|213|607|REQ
2769|213|600|REQ
2770|213|598|REQ
2771|213|475|REQ
2772|213|540|REQ
2773|236|587|OPT
2774|236|592|OPT
2775|236|602|OPT
2776|702|584|REQ
2777|702|607|REQ
2778|702|531|REQ
2779|702|597|REQ
2780|702|599|REQ
2781|702|600|REQ
2782|702|598|REQ
2783|235|591|OPT
2785|235|607|REQ
2786|237|607|REQ
2787|201|591|OPT
2789|703|328|REQ
2796|703|258|REQ
2797|703|410|REQ
2798|703|411|REQ
2799|703|412|REQ
2800|703|413|REQ
2801|703|420|REQ
2802|238|265|REQ
2803|238|901|REQ
2804|242|1038|REQ
2805|241|435|REQ
2806|241|765|REQ
2807|241|1040|OUT
2808|241|1039|OUT
2809|243|1041|REQ
2810|244|668|OUT
2811|244|430|REQ
2812|240|658|REQ
2813|240|1039|OPT
2814|240|1040|OPT
2816|240|1042|REQ
2817|245|658|REQ
2818|538|1044|OUT
2821|574|1045|OUT
2822|247|510|REQ
2823|247|658|REQ
2824|268|658|REQ
2827|269|658|REQ
2831|269|803|REQ
2832|269|531|REQ
2838|574|1011|REQ
2839|574|1012|REQ
2858|706|864|REQ
2859|706|1048|OUT
2862|706|1011|REQ
2863|706|1012|REQ
2864|708|1012|REQ
2865|708|1011|REQ
2867|708|1052|OUT
2868|709|1012|REQ
2869|709|1011|REQ
2870|709|864|REQ
2872|709|862|REQ
2873|709|1056|OUT
2874|709|1054|OUT
2875|709|1057|OUT
2896|716|1067|OUT
2911|719|290|REQ
2912|719|403|REQ
2913|719|405|REQ
2914|719|301|REQ
2934|701|1080|OUT
2936|701|980|OUT
2958|701|1032|OUT
2959|701|1033|OUT
2974|728|265|REQ
3010|65|399|REQ
3012|65|400|REQ
3013|345|322|OUT
3014|37|1120|OUT
3015|108|970|REQ
3016|369|307|REQ
3017|361|384|REQ
3023|107|461|OUT
3024|108|1130|OUT
3025|114|1635|REQ
3026|114|461|REQ
3027|114|1130|REQ
3028|114|391|REQ
3029|118|1635|REQ
3030|118|391|REQ
3031|118|461|REQ
3032|118|1130|REQ
3033|776|1131|REQ
3034|777|1133|REQ
3035|778|1134|REQ
3037|778|1136|REQ
3038|779|1133|REQ
3040|779|1137|REQ
3041|779|1136|REQ
3042|776|1137|OUT
3043|780|1138|REQ
3044|781|1139|REQ
3045|782|1140|REQ
3046|699|349|REQ
3047|699|547|REQ
3048|699|548|REQ
3049|699|549|REQ
3050|699|550|REQ
3051|699|1022|REQ
3052|699|384|REQ
3053|699|365|REQ
3054|783|258|REQ
3055|783|1635|REQ
3056|783|348|REQ
3057|783|410|REQ
3058|783|411|REQ
3059|783|412|REQ
3060|783|413|REQ
3061|783|392|REQ
3062|783|409|REQ
3063|783|1141|OUT
3064|661|531|REQ
3065|661|292|REQ
3066|661|1143|OUT
3067|661|1142|OUT
3069|176|2355|REQ
3070|176|392|REQ
3071|176|970|REQ
3072|207|1145|REQ
3073|207|1149|OUT
3074|443|1145|REQ
3075|443|1150|OUT
3076|788|1145|REQ
3077|788|1151|OUT
3078|788|1152|OUT
3079|788|1153|OUT
3080|788|1154|OUT
3081|788|1155|OUT
3082|788|1156|OUT
3084|788|1158|REQ
3088|443|1157|REQ
3089|788|1159|OUT
3092|445|1145|REQ
3093|784|1145|REQ
3094|784|1160|REQ
3097|788|1163|OUT
3098|444|1145|REQ
3103|451|1728|REQ
3106|451|1164|OUT
3109|450|531|REQ
3110|451|1792|REQ
3111|450|1728|REQ
3112|450|1164|REQ
3116|451|1576|REQ
3122|789|1147|REQ
3131|446|1161|REQ
3132|446|1145|REQ
3133|446|1157|REQ
3136|792|1147|REQ
3137|792|1168|REQ
3138|792|1169|REQ
3141|437|1148|REQ
3142|437|1169|REQ
3143|437|1172|REQ
3144|437|1168|REQ
3145|437|1173|OUT
3146|432|1147|REQ
3147|431|1147|REQ
3148|433|1147|REQ
3149|433|1174|OUT
3150|440|1148|REQ
3151|440|1173|REQ
3152|441|1148|REQ
3153|441|1173|REQ
3154|441|1169|REQ
3155|440|1169|REQ
3157|441|1176|OUT
3158|448|1176|REQ
3159|448|1148|REQ
3160|448|1162|REQ
3161|454|1148|REQ
3162|454|1176|REQ
3163|454|1170|REQ
3164|440|1167|REQ
3166|441|1166|REQ
3168|467|1147|REQ
3169|467|1174|REQ
3171|455|1147|REQ
3172|455|1166|REQ
3173|455|1167|REQ
3174|455|1180|OUT
3175|455|1157|REQ
3176|455|1179|OUT
3177|455|1177|OUT
3178|455|1178|OUT
3179|467|1180|REQ
3180|467|1179|REQ
3181|792|1181|OUT
3182|455|1181|REQ
3183|446|1182|OUT
3185|456|1145|REQ
3188|787|1145|REQ
3194|793|1145|REQ
3195|435|1145|REQ
3198|447|1164|REQ
3199|447|1145|REQ
3206|794|1148|REQ
3207|794|1185|REQ
3208|794|1186|REQ
3210|437|1187|OUT
3211|794|1187|REQ
3214|467|1188|REQ
3215|455|1188|OUT
3217|456|1157|REQ
3227|795|290|REQ
3228|795|294|REQ
3229|795|403|REQ
3230|795|405|REQ
3231|795|508|REQ
3233|434|1147|REQ
3234|454|1190|OUT
3235|699|265|REQ
3236|796|1728|REQ
3237|447|1191|REQ
3240|184|1017|REQ
3241|797|1145|REQ
3249|467|1181|REQ
3250|446|1149|REQ
3251|66|1193|OUT
3252|88|699|REQ
3253|88|1194|REQ
3254|345|699|REQ
3255|397|699|REQ
3256|694|568|REQ
3257|694|569|REQ
3258|694|571|REQ
3259|694|570|REQ
3262|535|1197|OUT
3265|574|1197|REQ
3266|361|1022|REQ
3267|362|1022|REQ
3278|167|1017|REQ
3284|799|307|REQ
3285|799|384|REQ
3286|799|1022|REQ
3287|799|848|REQ
3288|799|849|REQ
3289|153|1200|OUT
3290|157|1200|REQ
3291|693|1200|REQ
3292|694|1200|REQ
3293|697|1200|REQ
3294|696|520|REQ
3295|155|520|REQ
3296|88|1202|OUT
3297|88|1203|REQ
3305|708|1197|REQ
3306|708|1208|OUT
3309|800|864|REQ
3310|800|1210|OUT
3311|800|1011|REQ
3312|800|1012|REQ
3346|800|1220|OUT
3349|807|1222|OUT
3350|807|864|REQ
3351|807|862|REQ
3352|807|1221|REQ
3353|807|1223|OUT
3360|811|1227|OUT
3363|811|2610|REQ
3374|814|862|REQ
3400|700|1242|OUT
3401|815|862|REQ
3403|815|2876|OUT
3411|818|2609|REQ
3413|818|1248|OUT
3424|820|1257|OUT
3439|975|864|REQ
3440|975|1262|OUT
3443|996|864|REQ
3445|996|1263|REQ
3446|996|1264|OUT
3447|996|1265|OUT
3448|117|402|REQ
3449|137|402|REQ
3450|60|265|REQ
